"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.595880455E0,-7.112256885E-1,-4.154267311E-1,-1.283827305E0,1.525330750E0
2.612314721E0,-5.812299252E-1,-2.486433983E-1,-1.167996407E0,1.328106687E0
2.628745661E0,-4.970057607E-1,2.518072128E-1,-9.960432053E-1,1.141281589E0
2.645184941E0,-6.518665552E-1,6.953678131E-1,-7.789378166E-1,1.230938879E0
2.661615738E0,-9.366800785E-1,9.369812012E-1,-5.932350159E-1,1.451630506E0
2.678053187E0,-1.059347987E0,8.952507973E-1,-6.179523468E-2,1.388348227E0
2.694484808E0,-8.915810585E-1,5.809412003E-1,7.163448334E-1,1.282793585E0
2.710908393E0,-6.539421678E-1,2.587118149E-1,1.811354637E0,1.943084605E0
2.727353002E0,-3.076287508E-1,3.404192924E-1,2.582736015E0,2.623174807E0
2.743782385E0,1.137842387E-1,5.518188477E-1,2.952571869E0,3.005849553E0
2.760220934E0,5.409499407E-1,7.317991257E-1,3.606200218E0,3.719252185E0
2.776643959E0,1.013119578E0,6.494359970E-1,4.301981926E0,4.467127364E0
2.793090056E0,1.340671182E0,2.910542488E-1,4.624687195E0,4.823882611E0
2.809513569E0,1.460227013E0,-2.464168072E-1,4.696188927E0,4.924142017E0
2.825957182E0,1.387032509E0,-8.288319111E-1,4.570652008E0,4.847853267E0
2.842391733E0,1.263220549E0,-1.429702044E0,3.973208427E0,4.407511690E0
2.858825693E0,1.319898963E0,-2.055091381E0,2.858845711E0,3.760124021E0
2.875260243E0,1.635609984E0,-2.455039024E0,1.599437714E0,3.355687356E0
2.891693390E0,1.919265151E0,-2.383690834E0,3.375225067E-1,3.078876768E0
2.908123912E0,1.904310465E0,-1.774460793E0,-5.954780579E-1,2.670150477E0
2.924562978E0,1.541707039E0,-8.971300125E-1,-1.106984615E0,2.099313648E0
2.940996289E0,8.877170086E-1,-1.183605194E-1,-1.372332573E0,1.638702960E0
2.957429730E0,2.478449345E-1,2.070918083E-1,-1.566158295E0,1.599114109E0
2.973861421E0,-2.590878010E-1,3.656387329E-3,-1.692194462E0,1.711917625E0
2.990301191E0,-4.268557429E-1,-6.151077747E-1,-1.630852222E0,1.794503377E0
3.006735913E0,-2.729395032E-1,-1.244145870E0,-1.548309803E0,2.004908518E0
3.023162958E0,-1.833331585E-2,-1.548283577E0,-1.767809868E0,2.350036143E0
3.039597264E0,7.203103602E-2,-1.452521801E0,-2.232094288E0,2.664066997E0
3.056024072E0,2.046662569E-2,-1.016231537E0,-2.641843796E0,2.830633155E0
3.072468745E0,-1.135554016E-1,-5.476737022E-1,-2.845880032E0,2.900323166E0
3.088902216E0,-3.075973392E-1,-2.362346649E-1,-2.821551323E0,2.848082655E0
3.105334895E0,-3.242636919E-1,-2.147116661E-1,-2.337913513E0,2.370039585E0
3.121775448E0,-7.670023292E-2,-4.308326244E-1,-1.529315472E0,1.590693398E0
3.138204932E0,2.190670520E-1,-5.427963734E-1,-8.830204010E-1,1.059407053E0
3.154637895E0,3.354220092E-1,-2.872881889E-1,-6.867151260E-1,8.164680595E-1
3.171074063E0,3.399274647E-1,2.067837715E-1,-8.514995575E-1,9.398732392E-1
3.187503801E0,3.937633038E-1,6.558980942E-1,-1.048172951E0,1.297658809E0
3.203941403E0,3.905953765E-1,1.033751965E0,-1.189388275E0,1.623530826E0
3.220374968E0,3.636609912E-1,1.218756676E0,-1.089384079E0,1.674626771E0
3.236809182E0,2.683990896E-1,1.210972309E0,-6.890220642E-1,1.418888089E0
3.253243418E0,2.874010801E-1,1.045667171E0,-1.626996994E-1,1.096581236E0
3.269677917E0,5.350638628E-1,8.533005714E-1,6.318502426E-1,1.188970114E0
3.286108591E0,8.609691858E-1,8.720126152E-1,1.405097961E0,1.864396476E0
3.302548178E0,1.045931935E0,1.117784500E0,2.323526382E0,2.782479228E0
3.318979564E0,9.244553447E-1,1.551347733E0,2.930105209E0,3.441920105E0
3.335414297E0,4.841861129E-1,2.030043125E0,2.976539612E0,3.635285318E0
3.351848838E0,5.405630171E-2,2.319751740E0,2.598288536E0,3.483571950E0
3.368271577E0,-1.192945689E-1,2.124878883E0,2.204648972E0,3.064281082E0
3.384715863E0,1.713299155E-1,1.138276577E0,2.688300133E0,2.924377730E0
3.401140638E0,5.059324503E-1,-1.238923073E-1,3.357551575E0,3.397715339E0
3.417579695E0,9.254834652E-1,-1.126504898E0,4.072475433E0,4.325573845E0
3.434018843E0,1.073054314E0,-1.781191111E0,4.086081505E0,4.584773647E0
3.450452183E0,6.688844562E-1,-2.231774092E0,2.932905197E0,3.745684838E0
3.466886591E0,1.213024482E-1,-2.154443264E0,9.105720520E-1,2.342110485E0
3.483320053E0,-1.142434031E-1,-1.849480867E0,-7.407541275E-1,1.995582048E0
3.499754542E0,-2.273530960E-1,-1.443533182E0,-1.440163612E0,2.051718477E0
3.516188879E0,5.924373865E-2,-1.218165874E0,-1.192728996E0,1.705884046E0
3.532620114E0,4.037630260E-1,-1.333809137E0,-4.058303833E-1,1.451471562E0
3.549055864E0,5.382438898E-1,-1.548895597E0,-1.225433350E-1,1.644323851E0
3.565490942E0,5.181762576E-1,-1.641225338E0,-3.964824677E-1,1.766161259E0
3.581925036E0,3.178024590E-1,-1.497496605E0,-1.289272308E0,2.001428882E0
3.598359159E0,1.335611939E-1,-1.326473475E0,-2.058984280E0,2.452913927E0
3.614792936E0,-4.092216492E-2,-1.301209450E0,-2.598600864E0,2.906466430E0
3.631226520E0,-1.931065023E-1,-1.365837574E0,-2.949138641E0,3.255798078E0
3.647661528E0,-2.379328310E-1,-1.414316893E0,-3.030989170E0,3.353177546E0
3.664092986E0,-3.266803324E-1,-1.295088530E0,-2.807864189E0,3.109352930E0
3.680528849E0,-2.289521098E-1,-9.791176319E-1,-2.552386761E0,2.743313431E0
3.696963165E0,-1.070962250E-1,-5.338191986E-1,-2.279206276E0,2.343333904E0
3.713383810E0,-9.876701236E-2,-1.410093307E-1,-2.091989040E0,2.099060909E0
3.729832368E0,-2.979809344E-1,1.593365669E-1,-1.875009060E0,1.905213834E0
3.746254772E0,-5.822827816E-1,2.660522461E-1,-1.546003819E0,1.673309548E0
